,reviews
0,I love my suit! It’s great material and the seller was very responsive in changing the text and style for us to match the bride suit :) thank you!
1,"I love it! We bought the bride one and 6 more for our bride squad. The seller was very responsive, shipping was fast and the bathing suits are great quality! I would recommend sizing up one. Definitely buying from this seller again :)"
2,Cute but very see through/ thin material!
3,"It's cute! 👍 I just hope the crotch and nips are not see through when it gets wet......, 😳🤞😳🤞😳🤞 othwrwise👎"
4,It it so pretty
5,"Love it! Size up, it’ll be more comfortable."
6,"Design was as pictured - get decal 
Fast shipping also"
7,Love it! Fast shipping and great material!
8,Perfect! Arrived quickly even with COVID-19
9,Customs suit was requested. Seller made upon request.
10,Ordered a size too small but was provided a refund :)
11,Too small but provided a refund and was very nice.
12,Super cute and the seller was very reliable and always responded to me. So many people complemented me on this American flag bathing suit top. 👍🏼👍🏼 Make sure you lace the back properly and tie the strings super tight. It looks best from the front if it's tied pretty tight. Great buy!
13,"This item is super cute! I wore it for a Memorial Day Bar Crawl and I like that the top was adjustable, supportive and lined well. I would say the colors aren't quite as vibrant as in the picture but it's close. 

As for the seller, she was super responsive, shipping came quicker than estimated and I highly recommend!"
14,Loved my top. Wish I would have got a bigger size but I made it work. Material is great quality! You will love it :)
15,Item is great! Fits a little loose around the bottom so order small. Also material when stretches also stretches the color thin but over all I love it!
16,shipped it across the world surprisingly fast and at a low shipping rate. my top fit perfectly and is extremely cute!
17,love this. I was skeptical about it when I saw it on the manikin but it looks amazing on
18,So cute! Absolutely love this suit
19,This top is SOOOOOOOO cute! I have a small b cup and gives me GREAT cleavage!
20,Absolutely love this bathing suit! Will be great for the 4th
21,Wow!!  Amazing suit!!!  My bf highly recommends it!!
22,Love it! Fits great and the shipping was quick! Thank you :)
23,I love this item! Got it within a week of ordering it! So silky and smooth!
24,Perfect for the 4th of July! Shipped super fast. Great quality.
25,The top is SO comfortable and fits extremely well! Thank you!
26,Love the top! Shipping took a while to get to the States.
27,Colors are slightly washed out as the material is thin. Other than that I love the fit and design!
28,"Super cute, comfortable and well made!"
29,Product was great other than my flag is backwards ?? the stripes are on the left side instead of the right.
30,"When I received this bathing suit, the white areas had a hint of red as if the colors had bleed and the bottoms looked like a 5 year old had stitched them together. Not impressed for $80."
